"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"3";"3";"4";"4";"3";"3";"4";"4";"4";"4";"3";"4";"3";;;"ks"
"2";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"3";"4";"4";"5";"4";"4";"4";"3";"5";"3";"3";"4";"3";;"Vlastní názor by se mohl více cenit.";"ks"
"3";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"4";"4";"4";"5";"3";"3";"4";"4";"5";"4";"4";"3";"3";;;"ks"
"4";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"4";"5";"4";"3";"4";"4";"4";"4";"5";"5";"4";"4";"4";;;"ks"
"5";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"4";"4";"4";"3";"5";"4";"4";"3";"5";"4";"4";"4";"5";;;"ks"
"6";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"3";"4";"4";"4";"3";"4";"5";"3";"5";"4";"5";"4";"5";;;"ks"
"7";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"3";"4";"5";;;"ks"
"8";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"4";"5";"4";"5";"5";"4";"4";"3";"5";"3";"3";"5";"5";;;"ks"
"9";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"4";"4";"4";"3";"3";"4";"3";"5";"5";"4";"5";"5";"4";;;"ks"
"10";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"4";"5";"5";"4";"4";"4";"4";"4";"5";"3";"3";"4";"3";;;"ks"
"11";"JSB008";"Dějiny sociologie II.";"Šanderová";"Horák";"3";"4";"3";"5";"4";"5";"5";"3";"4";"3";"3";"4";"4";;;"ks"
"12";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"5";"4";"5";"4";"4";"5";"5";"5";"4";"4";"4";"3";"Rozšiřuje stat. znalosti.";;"ks"
"13";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"3";"4";"4";"3";"4";"4";"4";"5";"4";"5";"4";"4";;;"ks"
"14";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"5";"4";"5";"3";"5";"5";"5";"4";"3";"4";"4";"4";;;"ks"
"15";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"4";"5";"5";"4";"5";"5";"5";"5";"3";"4";"4";"4";;;"ks"
"16";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"4";"3";"5";"4";"3";"5";"5";"5";"4";"4";"3";"4";;;"ks"
"17";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"3";"3";"3";"4";"3";"3";"4";"5";"5";"3";"4";"3";"3";;;"ks"
"18";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"5";"4";"5";"5";"4";"5";"5";"5";"5";"5";"4";"4";;"Zpomalit přednášení na přednáškách, většinou nestíháme zapisovat";"ks"
"19";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"3";"5";"4";"5";"5";"4";"5";"5";"4";"4";"5";"3";"3";;;"ks"
"20";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";;"Nic mě nenapadá.";"ks"
"21";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"5";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";;;"ks"
"22";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"5";"Praktický přístup co se týče cvičení.";"Technické zázamí - často na cvičeních už není místo a počítače jsou tak pomalé, že se špatně drží krok";"ks"
"23";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"3";"3";"Přístup přednášejícího";;"ks"
"24";"JSB018";"Statistika II.";"Soukup P.";"Schubert";"3";"5";"3";"5";"5";"5";"5";"5";"5";"4";"4";"4";"5";;;"ks"
"25";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"3";"4";"4";"3";"4";"4";"4";"5";"3";"4";"3";"4";;;"ks"
"26";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"4";"5";"5";"4";"5";"5";"4";"5";"4";"5";"3";"4";;;"ks"
"27";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"4";"návaznost ve výkladu na předmět Statistika I.";"Zrušit ústní zkoušení pro sociofóbní studenty";"ks"
"28";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"3";"4";"3";"5";"3";"5";"5";"4";"5";"4";"5";"4";"3";"práce s SPSS";"Nelíbí se mi, že se zkoušíme naučit tolik testů, když by asi stačilo vybrat jen nějaké a těm se věnovat";"ks"
"29";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"3";"4";"4";"5";"4";"5";"5";"5";"5";"4";"5";"4";"3";;"Vybavení počítačové učebny";"ks"
"30";"JSB018";"Statistika II.";"Soukup P.";"Soukup P.";"3";"5";"3";"4";"3";"3";"5";"4";"5";"4";"5";"5";"4";"praktika, zkušenost s programem";"důkladněji vysvětlovat, na semináři pomaleji postupovat";"ks"
"31";"JSM070";"Teorie sociálních nerovností";"Šanderová";;"4";"3";"4";"4";"4";NULL;NULL;NULL;"5";"3";"5";"4";"3";"ilustrativní příklady k daným teoriím";"ilustrativní příklady k daným teoriím";"ks"
"32";"JSM070";"Teorie sociálních nerovností";"Šanderová";;"3";"4";"3";"5";"4";NULL;NULL;NULL;"4";"3";"5";"4";"3";;;"ks"
"33";"JSM070";"Teorie sociálních nerovností";"Šanderová";;"5";"3";"4";"4";"5";NULL;NULL;NULL;"5";"5";NULL;"5";"5";"výklad zajímavých autorů, Lockwood, Dahrendorf";"nepřítomnost sociologů z ne-anglosaské oblasti";"ks"
"34";"JSM070";"Teorie sociálních nerovností";"Šanderová";;"4";"5";"3";"4";"5";NULL;NULL;NULL;"4";"4";"5";"5";"4";;;"ks"
"35";"JSM070";"Teorie sociálních nerovností";"Šanderová";;"4";"4";"5";"5";"4";NULL;NULL;NULL;"5";"4";"5";"4";"5";"zaměření na vnější teorie v druhé části kurzu";"nekdy rychlost výkladu, několik prvních přednášek se obsahově kryje s dalšími kurzy";"ks"
"36";"JSM070";"Teorie sociálních nerovností";"Šanderová";;"4";"5";"5";"4";"5";NULL;NULL;NULL;"5";"4";"3";"4";"3";;;"ks"
