"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"4";"5";"5";"5";NULL;NULL;NULL;"4";"5";"5";"5";"4";"Pohotovost vyučujícího sa přesahem do jiných oborů.";;"ks"
"2";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"4";"5";"5";"5";NULL;NULL;NULL;"5";"5";"3";"5";"4";"Dobrou komunikaci přednášející, vše je včas, osnovy na internetu, příjemná atmosféra";"Nic";"ks"
"3";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"5";"3";"5";"4";NULL;NULL;NULL;"3";"4";"3";"4";"4";;;"ks"
"4";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"3";"4";"5";"4";NULL;NULL;NULL;"3";"5";"4";"4";"4";"diskuze o textech, shnutí v bodech na internetu = osnova";;"ks"
"5";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"3";"5";"5";"5";NULL;NULL;NULL;"3";"5";"3";"4";"5";"domácí a přátelskou atmosféru";"přístupnost materiálů";"ks"
"6";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"5";"3";"4";"5";"5";NULL;NULL;NULL;"3";"5";"5";"5";"5";"četbu textů";;"ks"
"7";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"3";"4";"5";"4";NULL;NULL;NULL;"4";"5";"4";"4";"4";;"místnost odpovídající počtu studentů";"ks"
"8";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"3";"4";"5";"4";NULL;NULL;NULL;"3";"4";"3";"5";"4";;;"ks"
"9";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"3";"4";"5";"5";NULL;NULL;NULL;"5";"5";"4";"5";"5";;;"ks"
"10";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"5";"3";"5";"3";NULL;NULL;NULL;"4";"3";"4";"4";"3";;;"ks"
"11";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"5";"4";"4";"5";"5";NULL;NULL;NULL;"3";"5";"4";"5";"5";"četba textů a článků";"raději texty česky";"ks"
"12";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"5";"3";"5";"5";"4";NULL;NULL;NULL;"3";"5";"3";"5";"5";;;"ks"
"13";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"5";"3";"5";"5";"5";NULL;NULL;NULL;"3";"5";"3";"5";"5";"diskuze nad aktuálními texty v angličtině";;"ks"
"14";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"5";"3";"4";"5";"5";NULL;NULL;NULL;"4";"4";"3";"4";"5";;;"ks"
"15";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"5";"4";"5";"5";"5";NULL;NULL;NULL;"4";"4";"4";"3";"5";;;"ks"
"16";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"3";"4";"5";"5";NULL;NULL;NULL;"3";"5";"3";"5";"5";;;"ks"
"30016";"JSM412";"Sexualita a genderové identity";"Sloboda";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"5";"5";"3";"5";"5";"iniciativu přednášejícího, prokládání přednášky videi apod.";;"ks"
"17";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"5";"3";"4";"5";"5";NULL;NULL;NULL;"4";"5";"3";"5";"5";;;"ks"
"18";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"5";"4";"5";"5";"5";NULL;NULL;NULL;"3";"5";"4";"5";"5";"diskuze k textům aktuální témata";;"ks"
"19";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"3";"3";"4";"3";NULL;NULL;NULL;NULL;"4";"3";"4";"4";;;"ks"
"20";"JSB506";"Antropologie globalizace a migrací";"Řezáčová";"Řezáčová";"4";"4";"3";"4";"4";NULL;NULL;NULL;"3";"4";"4";"4";"4";;;"ks"
