"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"4";"2";"4";"4";"4";"4";"4";"4";"1";"4";"4";"1";"4";;;"kvsp"
"2";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"4";"2";"4";"5";"4";NULL;NULL;"4";"1";"3";"4";"3";"5";;;"kvsp"
"3";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"5";"3";"5";"5";"5";"5";"5";"5";"1";"4";"4";"3";"5";"Představení nových informačních zdrojů. Osvětlení citačních norem.";"Rychlost internetu v učebně 2063.";"kvsp"
"4";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"5";"3";"4";"4";"3";"4";"4";"3";"1";"4";"3";"4";"5";"Styl a organizace výuky.";"Lepší učebnu s počítačema (jsou velice pomalé a nedá se pak stíhat pedagoga).";"kvsp"
"5";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"4";"2";"4";"5";"4";"4";"5";"4";"1";"4";"4";"3";"3";;;"kvsp"
"6";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"5";"3";"5";"5";"5";"5";"5";"5";"1";"5";"5";NULL;"5";"názornost";;"kvsp"
"7";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"5";"2";"5";"5";"5";"5";"5";"4";"1";"4";"5";"4";"5";;;"kvsp"
"8";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"5";"1";"5";"5";"4";NULL;NULL;NULL;"1";"4";"4";"2";"5";"Získání, upevnění postupů, jak vyhledávat informace, jak správně citovat.";;"kvsp"
"9";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"4";"2";"5";"5";"4";"5";"5";"4";"1";"4";"4";"2";"5";"Praktické informace, tipy na internetové stránky, frekvence 1x/14 dní.";"Vše je v pořádku.";"kvsp"
"10";"JSM514";"Metody a techniky práce s informacemi";"Tomandlová";"Tomandlová";"3";"2";"3";"3";"4";"3";"3";"4";"1";"4";"4";"2";"4";;;"kvsp"
"11";"JSM681";"Evaluace veřejných politik a programů";"Nekola";;"5";NULL;"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"4";;"Termín výuky. Pondělí 8 ráno je příliš brzy.";"kvsp"
"12";"JSM681";"Evaluace veřejných politik a programů";"Nekola";;"5";"4";"4";"5";"5";NULL;NULL;NULL;"1";"5";"5";"4";"5";;;"kvsp"
"13";"JSM681";"Evaluace veřejných politik a programů";"Nekola";;"5";"3";"4";"5";"5";NULL;NULL;NULL;"1";"5";"3";"4";"5";;"Škoda, že nybl více přítomen i prof. Ochrana.";"kvsp"
"14";"JSM681";"Evaluace veřejných politik a programů";"Nekola";;"4";"4";"4";"5";"4";NULL;NULL;NULL;"1";"3";"2";"2";"4";"Vstřícnost, aktivita a komunikativnost přednášejícího, fundovanost přednášejícího, průběžná práce do kurzu.";"Zahrnutí také kvalitativních metod hodnocení, redukování kvantitativních.";"kvsp"
"15";"JSM681";"Evaluace veřejných politik a programů";"Nekola";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kvsp"
"16";"JSM681";"Evaluace veřejných politik a programů";"Nekola";;"4";"4";"2";"5";"4";NULL;NULL;NULL;"1";"4";"4";"3";"4";;;"kvsp"
"17";"JSM681";"Evaluace veřejných politik a programů";"Nekola";;"4";"3";"5";"5";"5";NULL;NULL;NULL;"1";"4";"4";"4";"4";"Přístup vyučujícího ke studentům a způsob výkladu.";"Pracovat na ev. plánech již v průběhu hodin.";"kvsp"
"18";"JSM681";"Evaluace veřejných politik a programů";"Nekola";;"4";"3";"4";"5";"5";NULL;NULL;NULL;"1";"4";"4";"4";"4";"Průběžné úkoly místo zkoušky teorie v závěru.";"Předpokládat, že ne všichni studenti již měli MAP!";"kvsp"
"19";"JSM619";"Globální problémy životního prostředí";"Nováček";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"1";"5";"5";"Blokový způsob výuky. Široký záběr informací.";;"kvsp"
"20";"JSM619";"Globální problémy životního prostředí";"Nováček";;"5";"2";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"Získání všeobecného přehledu a ukázky z praxe. Příjemná forma výkladu.";"Vše v pořádku.";"kvsp"
"21";"JSM619";"Globální problémy životního prostředí";"Nováček";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"5";"5";"Přístup přednášejícího.";;"kvsp"
"22";"JSM619";"Globální problémy životního prostředí";"Nováček";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"4";"1";"2";"5";"Kvalitní přednášející, zlepšení celkového rozhledu v obl. živ. prostředí, přírodních věd.";"Část bloku věnovat př. sledování k tématu se vztahujících dokumentů.";"kvsp"
"23";"JSM619";"Globální problémy životního prostředí";"Nováček";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"4";"4";"5";;;"kvsp"
"24";"JSM619";"Globální problémy životního prostředí";"Nováček";;"4";"3";"4";"4";"4";NULL;NULL;NULL;"1";"3";"2";"4";"4";;;"kvsp"
"25";"JSM619";"Globální problémy životního prostředí";"Nováček";;"5";"4";"5";"5";"4";NULL;NULL;NULL;"1";"5";"2";"4";"5";"zajímavá témata, široký záběr vyučujícího";;"kvsp"
"26";"JSM619";"Globální problémy životního prostředí";"Nováček";;"4";"2";"5";"5";"4";NULL;NULL;NULL;"1";"4";"3";"5";"5";"Nové informace, zajímavá výuka.";"Dlouhé přednášky, neschopnost koncentrace.";"kvsp"
"27";"JSM619";"Globální problémy životního prostředí";"Nováček";;"5";"3";"4";"5";"5";NULL;NULL;NULL;NULL;"5";"3";"4";"5";;;"kvsp"
"28";"JSM619";"Globální problémy životního prostředí";"Nováček";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"1";"3";"5";;;"kvsp"
"29";"JSM523";"Sociální politika";"Čabanová";;"4";"3";"4";"5";"3";NULL;NULL;NULL;"1";"5";"2";"4";"5";"Zajímavý přednes vyučující.";;"kvsp"
"30";"JSM523";"Sociální politika";"Čabanová";;"4";"2";"4";"5";"4";NULL;NULL;NULL;"1";"3";"3";"4";"4";;;"kvsp"
"31";"JSM523";"Sociální politika";"Čabanová";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"3";"4";"5";;;"kvsp"
"32";"JSM523";"Sociální politika";"Čabanová";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"1";"3";"2";"5";"5";"prístup a nadhľad prednášajúceho";"púšťať disko hudbu!";"kvsp"
"33";"JSM523";"Sociální politika";"Čabanová";;"3";"3";"3";"4";"2";NULL;NULL;NULL;"1";"3";"3";"3";"2";;;"kvsp"
"34";"JSM523";"Sociální politika";"Čabanová";;"5";"4";"5";"4";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"Erudovaný přístup přednášející. Velmi dobrý způsob vysvětlování.";;"kvsp"
"35";"JSM523";"Sociální politika";"Čabanová";;"4";"4";"4";"5";"4";NULL;NULL;NULL;"1";"3";"4";"4";"3";;;"kvsp"
"36";"JSM523";"Sociální politika";"Čabanová";;"5";"5";"5";"5";"4";NULL;NULL;NULL;"1";"5";NULL;"4";"5";;;"kvsp"
"37";"JSM523";"Sociální politika";"Čabanová";;"4";"3";"5";"5";"3";NULL;NULL;NULL;"1";"5";"4";"4";"5";;;"kvsp"
"38";"JSM523";"Sociální politika";"Čabanová";;"3";"3";"4";"4";"4";NULL;NULL;NULL;"1";"3";"2";"3";"5";;;"kvsp"
"39";"JSM523";"Sociální politika";"Čabanová";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"2";"4";"5";;"V kombinovaném studiu větší časový prostor.";"kvsp"
"40";"JSM523";"Sociální politika";"Čabanová";;"4";"4";"4";"5";NULL;NULL;NULL;NULL;NULL;"5";"4";"4";"4";;;"kvsp"
"41";"JSM523";"Sociální politika";"Čabanová";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kvsp"
"42";"JSM523";"Sociální politika";"Čabanová";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"přístup k problematice";;"kvsp"
"43";"JSM523";"Sociální politika";"Čabanová";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"5";"5";"4";;;"kvsp"
"44";"JSM523";"Sociální politika";"Čabanová";;"5";"5";"5";"5";"4";NULL;NULL;NULL;"1";"5";"4";"5";"5";;;"kvsp"
