"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JSM611";"Sociologie a současné divadlo";"Pizinger";;"3";"1";"5";"4";"4";NULL;NULL;NULL;"2";"4";"2";"3";"4";"Vynikající kurz pro družení se se spolužáky.";;"ks"
"2";"JSM611";"Sociologie a současné divadlo";"Pizinger";;"5";"2";"5";"5";"5";NULL;NULL;NULL;NULL;"5";"1";"5";"5";"návštěvy divadel";"víc dostupných textů";"ks"
"3";"JSM611";"Sociologie a současné divadlo";"Pizinger";;"4";"2";"4";"5";"4";NULL;NULL;NULL;"1";"5";"1";"3";"4";;;"ks"
"4";"JSM611";"Sociologie a současné divadlo";"Pizinger";;"3";"2";"4";"4";"3";NULL;NULL;NULL;"1";"2";"2";"2";"4";"návštěva divadla";"přidat něco sociologického";"ks"
"5";"JSM611";"Sociologie a současné divadlo";"Pizinger";;"4";"3";"4";"5";NULL;NULL;NULL;NULL;"1";"5";"1";"3";"4";;;"ks"
"6";"JSM611";"Sociologie a současné divadlo";"Pizinger";;"4";"2";"5";"5";"4";NULL;NULL;NULL;"3";"4";"3";"2";"5";;;"ks"
"7";"JSM611";"Sociologie a současné divadlo";"Pizinger";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"2";"2";"5";"návštěvy představení";"zkusit někde najít alespoň kousek sociologie";"ks"
"8";"JSM013";"Sociální konstrukce hospodářských a správních institucí";"Kabele";;"3";"5";"4";"5";"3";NULL;NULL;NULL;"2";"4";"4";"2";"4";;"ocenila bych polopatičtější, srozumitelnější vysvětlení látky s více praktickými příklady";"ks"
"9";"JSM013";"Sociální konstrukce hospodářských a správních institucí";"Kabele";;"3";"4";"4";"5";"3";NULL;NULL;NULL;"1";"4";"3";"4";"3";;;"ks"
"10";"JSM013";"Sociální konstrukce hospodářských a správních institucí";"Kabele";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"1";"4";"4";"4";"5";;;"ks"
"11";"JSM013";"Sociální konstrukce hospodářských a správních institucí";"Kabele";;"4";"4";"4";"4";"4";NULL;NULL;NULL;"1";"4";"4";"4";"4";;;"ks"
"12";"JSM013";"Sociální konstrukce hospodářských a správních institucí";"Kabele";;"3";"4";"3";"4";"3";NULL;NULL;NULL;"1";"5";"3";"5";"3";;;"ks"
"13";"JSM013";"Sociální konstrukce hospodářských a správních institucí";"Kabele";;"4";"5";"5";"5";"4";NULL;NULL;NULL;"1";"5";"4";"5";"4";"možnost zvolit si téma, které studenta zajímá";"lepší organizovanost kurzu… moodle a text více dopředu ke stažení";"ks"
"14";"JSM013";"Sociální konstrukce hospodářských a správních institucí";"Kabele";;"3";"4";"4";"5";"3";NULL;NULL;NULL;"1";"4";"4";"3";"4";;;"ks"
"15";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";"4";"4";"4";"5";"5";"5";"5";"5";"1";"4";"4";"4";"5";"cvičení a přípravu";;"ks"
"16";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";"4";"4";"3";"4";"4";"5";"5";"4";"2";"4";"4";"4";"5";;;"ks"
"17";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";"4";"3";"5";"5";"5";"4";"5";"5";"1";"5";"4";"5";"5";"koncepce cvičení";;"ks"
"18";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";"5";"4";"5";"5";"5";"5";"5";"4";"1";"5";"3";"5";"5";;;"ks"
"19";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";"5";"3";"5";"5";"4";"5";"5";"5";"1";"5";"5";"5";"5";;;"ks"
"20";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";"5";"3";"5";"5";"4";"5";"5";"5";"1";"5";"5";"5";"5";;;"ks"
"21";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";"4";"3";"5";"3";"4";"5";"5";"5";"1";"4";"4";"4";"4";;;"ks"
"22";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";NULL;"4";"4";"4";"4";"4";"4";"4";"1";"4";"4";"4";"4";;;"ks"
"23";"JSB007";"Dějiny sociologie I";"Šanderová";"Šamánek";"5";"3";"5";"5";"5";"5";"5";"5";"1";"5";"4";"5";"5";;;"ks"
"24";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"4";"4";"5";"5";"4";"5";"5";"5";"1";"4";"3";"4";"4";;;"ks"
"25";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"4";"5";"5";"5";"5";"5";"5";"1";"4";"4";"5";"5";"půlené semináře";;"ks"
"26";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"5";"5";"5";"4";"5";"5";"5";"1";"5";"5";"5";"4";"rozvržení přednášek a seminářů";;"ks"
"27";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"5";"4";"5";"4";NULL;NULL;NULL;"1";"5";"4";"5";"4";"diskuze";;"ks"
"28";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"4";"3";"3";"5";"3";"5";"5";"4";"1";"4";"3";"4";"4";"oceňuji zejména semináře - diskuze jsou zajímavé a příjemně propojují teorie s každodenní zkušeností";"přednášky, ač živě pojaté, jsou trochu strohé a abstraktní";"ks"
"29";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"4";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"komentáře a zpětnou vazbu, cvičení";;"ks"
"30";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"4";"5";"5";"5";"5";"5";"5";"1";"4";"4";"4";"5";;;"ks"
"31";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"4";"4";"5";"5";"5";"5";"5";"5";"1";"5";NULL;"5";"4";;;"ks"
"32";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"5";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";;;"ks"
"33";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"4";"5";"5";;;"ks"
"34";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"5";"5";NULL;"4";"4";"5";"5";"1";"5";"3";"5";"5";"přednášející";"nahradit text Olgy Šmídové něčím srozumitelnějším";"ks"
"35";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"5";"5";"semináře a povinné texty";;"ks"
"36";"JSM216";"Kulturní obrat ve výzkumu sociálních nerovností";"Šanderová";"Šanderová";"5";"5";"5";"5";"4";"5";"5";"4";"1";"4";"3";"4";"4";"semináře a živé diskuze, vysvětlování a objasňování, zejména o to, co si student myslí (to je vzácné!)";;"ks"
"37";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"4";"4";"5";"4";NULL;NULL;NULL;"2";"4";"4";"4";"5";;;"ks"
"38";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"1";"4";"2";"4";"4";;;"ks"
"39";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"2";"5";"3";"4";"5";"četba na každou hodinu, diskuze četby";;"ks"
"40";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"5";"5";"5";"5";NULL;NULL;NULL;NULL;"5";"4";"5";"5";"přednášejícího";;"ks"
"41";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"2";"5";"4";"3";"5";;;"ks"
"42";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"1";"5";"4";"5";"5";;;"ks"
"43";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"5";"5";"vše";"nic";"ks"
"44";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"5";"5";"práce s pov. lit.";"pokud možno jasněji odlišit výklad od semináře";"ks"
"45";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"4";"4";"5";NULL;NULL;NULL;NULL;"1";"5";"3";"5";"5";"přednášející";;"ks"
"46";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"4";"4";"5";"5";"4";NULL;NULL;NULL;"2";"4";"3";"4";"5";;"více prostoru pro prezentace studentů (příliš zásahů vyučujícího)";"ks"
"47";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"4";"3";"4";"5";"5";NULL;NULL;NULL;"2";"5";"3";"2";"4";"líbí se mi systém referátů i průběžných komentářů";"'bylo by lepší kdyby více a koncepčně přednášel i pan Císař, je vidět, že o tématu hodně ví, ale takhle spíš ''pozoruje'' prezentace ostatních :)'";"ks"
"48";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"5";"5";"5";NULL;NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"ks"
"49";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"4";"5";"4";"5";"5";NULL;NULL;NULL;"1";"5";"4";"4";"3";"přípravy na semináře";"mluvit pomaleji, menší množství literatury, kratší délk sem. Práce, přednášet více uceleně - takto je to často útržkovité";"ks"
"50";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"2";"5";NULL;"4";"5";"přínosný předmět o novodobé společnosti, zachovat jak je";;"ks"
"51";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"4";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"4";"5";"4";;;"ks"
"52";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"3";"5";"5";;;"ks"
"53";"JSM095";"Studium politické mobilizace a sociálních hnutí";"Císař";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"Ondřeje Císaře na FSV";;"ks"
"54";"JSB490";"Úvod do politické sociologie";"Císař";;"4";"3";"5";"5";"5";NULL;NULL;NULL;"1";"4";"4";"4";"5";;;"ks"
"55";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"ks"
"56";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"5";"5";"5";"4";NULL;NULL;NULL;"1";"4";"2";"4";"5";"formu zkoušky";;"ks"
"57";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"5";"4";"5";"5";"5";"prezentace a diskuze";;"ks"
"58";"JSB490";"Úvod do politické sociologie";"Císař";;"4";"4";NULL;NULL;NULL;NULL;NULL;NULL;"1";"4";"4";"4";"4";;;"ks"
"59";"JSB490";"Úvod do politické sociologie";"Císař";;"4";"4";"5";"5";"4";NULL;NULL;NULL;"1";"5";"4";"5";"5";;;"ks"
"60";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"nejlepší kurz semestru";"dejte ho místo Dějin Sociologie (takhle se to dělá totiž)";"ks"
"61";"JSB490";"Úvod do politické sociologie";"Císař";;"3";"4";"4";"5";"3";NULL;NULL;NULL;"1";"4";"2";"3";"3";;;"ks"
"62";"JSB490";"Úvod do politické sociologie";"Císař";;NULL;"4";"5";"5";"3";NULL;NULL;NULL;"2";"5";"3";"4";"4";"interaktivní forma, diskuze";;"ks"
"63";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"5";"5";"nucené přípravy, diskuze";"přidat semináře";"ks"
"64";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"nejlepší kurz za celé mé studium, skvělý přístup vyučujícího";;"ks"
"65";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"1";"4";"1";"4";"5";;;"ks"
"66";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"4";"5";"4";"5";NULL;NULL;NULL;"1";"4";"3";"4";"5";"že jsme donuceni číst texty a máme jim porozumět";"nic";"ks"
"67";"JSB490";"Úvod do politické sociologie";"Císař";;"4";"3";"4";"5";"4";NULL;NULL;NULL;"2";"4";"3";"3";"4";"diskuze textů";"občas vyučující skáče až nepříjemně do řeči, ale dá se to zvládnout";"ks"
"68";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"1";"5";"3";"5";"5";"přednášejícího";"povinnou četbu dostupnou na internetu (naskenovat texty do moodlu)";"ks"
"69";"JSB490";"Úvod do politické sociologie";"Císař";;"4";"4";"5";"5";"3";NULL;NULL;NULL;"1";"4";"4";"4";"3";;;"ks"
"70";"JSB490";"Úvod do politické sociologie";"Císař";;"4";"3";"4";"4";"5";NULL;NULL;NULL;"1";"4";"4";"4";"4";;;"ks"
"71";"JSB490";"Úvod do politické sociologie";"Císař";;"4";"4";"4";"4";"4";NULL;NULL;NULL;"1";"5";"4";"5";"4";;;"ks"
"72";"JSB490";"Úvod do politické sociologie";"Císař";;"4";"4";"4";"4";"5";NULL;NULL;NULL;"1";"4";"3";"5";"4";;;"ks"
"73";"JSB490";"Úvod do politické sociologie";"Císař";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;"kurz je skvělý!";"ks"
"74";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"4";"4";"4";"3";"4";"5";"5";"5";"1";"5";"4";"4";"5";"líbí se mi cvičení formou diskuze a to, jak p. Matoušek uznává naše individuální názory";;"ks"
"75";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"4";"2";"5";"5";"4";"5";"5";"5";"1";"5";"4";"4";"5";;;"ks"
"76";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"4";"3";"5";"5";"5";"5";"5";"5";"1";"4";"5";"4";"4";;;"ks"
"77";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"4";"3";"4";"4";"5";"5";"5";"4";"1";"4";"4";"4";"4";;;"ks"
"78";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"5";"4";"5";"4";"5";"4";"5";"4";"1";"5";"4";"4";"4";;;"ks"
"79";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"5";"4";"4";"4";"4";"4";"4";"5";"1";"4";"4";"4";"4";;;"ks"
"80";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"5";"3";"4";"4";"4";"5";"5";"5";"1";"4";"4";"4";"5";;;"ks"
"81";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"5";"3";NULL;NULL;NULL;"5";"5";"4";"1";"5";"4";"4";"5";;;"ks"
"82";"JSB007";"Dějiny sociologie I";"Šanderová";"Matoušek";"5";"3";"5";"5";"5";"4";"5";"4";"1";"5";"3";"4";"5";;;"ks"
"83";"JSM455";"Praktická cvičení a rétorika";;"Maršálek, Balon";"3";"4";NULL;NULL;NULL;"3";"4";"4";"3";"3";"4";"3";"4";;;"ks"
"84";"JSM455";"Praktická cvičení a rétorika";;"Maršálek, Balon";"4";"5";NULL;NULL;NULL;"5";"5";"4";"1";"2";"5";"2";"4";"Nutnost si připravit delší prezentaci na celou hodinu";;"ks"
"85";"JSM455";"Praktická cvičení a rétorika";;"Maršálek, Balon";"5";"3";NULL;NULL;NULL;"5";"5";"3";"1";"3";"5";"2";"5";"stávající forma mi vyhovovala";"nemám co bych vytkla";"ks"
"86";"JSM455";"Praktická cvičení a rétorika";;"Maršálek, Balon";"2";"4";NULL;NULL;NULL;"2";"2";NULL;NULL;"2";"3";"2";"1";;;"ks"
"87";"JSB067";"Filmový seminář";"Kotík, Kandert";;"4";"5";"4";"4";"4";NULL;NULL;NULL;NULL;"5";"3";"4";"4";;;"ks"
"88";"JSB067";"Filmový seminář";"Kotík, Kandert";;"4";"3";"5";"5";"3";NULL;NULL;NULL;"1";"5";"5";"5";"5";"přístup ke studentům";"možno zmeniť žáner filmov (westerny niesú moj obľ. Žáner)";"ks"
"89";"JSB067";"Filmový seminář";"Kotík, Kandert";;"4";"4";"4";"3";"4";NULL;NULL;NULL;"1";"4";"4";"4";"4";;"aby byly předloženy určité ukázky filmových recenzí, z počátku jsem vůbec netušila, v jaké formě mám úkoly zpracovat";"ks"
"90";"JSB067";"Filmový seminář";"Kotík, Kandert";;"4";"2";"4";"3";"2";NULL;NULL;NULL;NULL;"3";"4";"4";"2";;;"ks"
"91";"JSB067";"Filmový seminář";"Kotík, Kandert";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"ks"
"92";"JSB067";"Filmový seminář";"Kotík, Kandert";;"4";"4";"5";"5";"5";NULL;NULL;NULL;"2";"3";"4";"4";"4";"častější zpětná vazba";;"ks"
"93";"JSB067";"Filmový seminář";"Kotík, Kandert";;"5";"4";"4";"5";"5";NULL;NULL;NULL;"1";"4";"2";"4";"5";;;"ks"
"94";"JSB067";"Filmový seminář";"Kotík, Kandert";;"5";"4";"5";"5";NULL;NULL;NULL;NULL;"1";"5";"5";"5";"5";"diskuze - velmi pomáhá si ucelit informace";"aby byl každý týden";"ks"
"95";"JSB067";"Filmový seminář";"Kotík, Kandert";;"4";"3";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;"ks"
"96";"JSB067";"Filmový seminář";"Kotík, Kandert";;"4";"3";"4";"4";"4";NULL;NULL;NULL;"1";"3";"5";"3";"4";;;"ks"
"97";"JSM612";"Kriminalita a současná česká společnost";"Cejp";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kvsp"
"98";"JSM612";"Kriminalita a současná česká společnost";"Cejp";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"1";"5";"3";"4";"5";;;"kvsp"
"99";"JSM612";"Kriminalita a současná česká společnost";"Cejp";;"5";"1";"5";"5";"4";NULL;NULL;NULL;"1";"4";NULL;"4";"5";;;"kvsp"
"100";"JSM612";"Kriminalita a současná česká společnost";"Cejp";;"4";"3";"4";"5";"4";NULL;NULL;NULL;"1";"4";"2";"3";"4";;;"kvsp"
"101";"JSM612";"Kriminalita a současná česká společnost";"Cejp";;"4";"3";"4";"4";"4";NULL;NULL;NULL;"1";"4";"1";"3";"4";;;"kvsp"
