"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"4";"4";"5";"4";NULL;NULL;NULL;"4";"4";"3";"5";"4";;;"ks"
"2";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"4";"4";"5";"4";NULL;NULL;NULL;"3";"4";"2";"4";"4";;;"ks"
"3";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"4";"4";"4";"4";NULL;NULL;NULL;"3";"4";"4";"4";"4";"Přednášející, ať jí slouží zdraví. Více průběžné práce, zrušit esej";;"ks"
"4";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"3";"4";"4";"4";NULL;NULL;NULL;"1";"4";"3";"4";"4";;;"ks"
"5";"JSB055";"Současná sociální antropologie";"Řezáčová";;"5";"4";"4";"3";"4";NULL;NULL;NULL;"3";"5";"4";"5";"5";;;"ks"
"6";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"3";"4";"5";"5";NULL;NULL;NULL;"3";"5";"4";"4";"5";;;"ks"
"7";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"4";"3";"5";"4";NULL;NULL;NULL;"3";"4";"3";"4";"4";;;"ks"
"8";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"3";"4";"5";"4";NULL;NULL;NULL;"2";"3";"3";"3";"3";;;"ks"
"9";"JSB055";"Současná sociální antropologie";"Řezáčová";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"2";"4";"3";"5";"5";;;"ks"
"10";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"4";"4";"5";"5";NULL;NULL;NULL;"3";"5";"3";"5";"4";;;"ks"
"11";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"3";"3";"5";"4";NULL;NULL;NULL;"1";"4";"4";"4";"5";;;"ks"
"12";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"4";"4";"4";"4";NULL;NULL;NULL;"4";"3";"2";"3";"3";;;"ks"
"13";"JSB055";"Současná sociální antropologie";"Řezáčová";;"4";"3";"4";"4";"5";NULL;NULL;NULL;"3";"4";"3";"4";"4";;;"ks"
"14";"JSB055";"Současná sociální antropologie";"Řezáčová";;"3";"5";"4";"3";"4";NULL;NULL;NULL;NULL;"4";"4";"4";"3";;;"ks"
"15";"JSB311";"Antropologie náboženství";"Řezáčová";;"4";"4";"4";"4";"4";NULL;NULL;NULL;"3";"3";"2";"4";"4";;;"ks"
"16";"JSB311";"Antropologie náboženství";"Řezáčová";;"4";"4";"4";"4";"5";NULL;NULL;NULL;"3";"4";"2";"3";"4";;;"ks"
