"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JMB500";"Metodický úvod pro kombinované studium";"Kubát,M.";;"1";"2";"2";"2";"1";NULL;NULL;NULL;NULL;"1";"1";"1";"1";"Taky bych to rád věděl.";"Aby si profesor laskavě uvědomil, že to je kombinované a ne prezenční studium, tudíž když nemůže docela logicky člověk přijít na vypsaný termín přednášky, což je překvapující, když je to v pátek večer, tak by bylo fajn studentovi zaslat informace skrze mail, minimálně když už student o ty informace žádá, mu je poslat. Považuji za naprostou debilitu přístupu, že mi profesor pošle minoritní část informací, zbytek odmítne poslat, že to obsáhle vysvětloval na přednášce a do mailu se to nedá udělat, tudíž to nepošle, já mu následně na základě minoritního množství obdržených informací zašlu svoji práci, s kterou se dřu X hodin, a dostanu ji oznámkovanou za 4, protože jsem nesplnil náležitosti, které jsem neobdržel, které mi navíc úplně bez problému profesor během pár sekund vypíše v odůvodnění známky.Upřímně nevím, co jsem se měl v předmětu naučit, když mě nikdo v něm nic neučil. \"Dostal jsem\" zadané parametry prací, které jsem buď znal, nebo si je musel nastudovat sám googlením, žádné vysvětlování k nim nebylo, pak jsem akorát odevzdal práci, která buď splňovala, nebo nesplňovala. Nikde k nim studijní materiály nebyly. Co se knížky týče, nějak jsem nepochopil, k čemu mi má být přečtení maximálně pět let starého díla nebo co se z toho mám naučit. Recenzi mě zase nikdo pořádně neučil psát - pár stránkový popis, jak psát recenzi, fakt nepovažuji za dostatečně vysvětlující - musel jsem si vygooglit nějaké příklady a sám si rozebrat, jak jsou stavěné díky předchozí zkušenosti s prací s textem (kterou jsem se však neučil na osmiletým gymnasiu, tam to nikdo neučí a ani snad neumí), na to jsem se reálně něco učil.Student je, hádám, profesorovi během studia naprosto lhostejný, protože z profesorovy strany žádný zájem o to, jak se jeho studentovi daří, neproběhl, zato mi však přišel email od jiného profesora, kterého jsem ani neměl, s připomenutím, že zbývá již jen týden do odevzdání první práce. Díky Bohu aspoň někdo tu májem o studenty fakulty, dokonce má zájem o ty, které ani nemá na semináři, byť omylem. O něčem větším, jako nějakých tipech na kvalitní odkazy, které by se mohly k vypracování mé práce, ani nemluvě.";"krvs"
"2";"JMB523";"Mezinárodní aktuality I";"Fojtek Vít";;"3";"3";"1";"1";"1";NULL;NULL;NULL;NULL;"2";"2";"2";"2";"Širokou paletu témat seminárních prací.";"Téměř celá kritika metodického úvodu (...) se týká i tohoto předmětu. Vyloženě \"se těším\" na další 4. Přidal bych k tomu, že bych byl rád, kdyby mi profesor odpovídal na maily ideálně vždy, ne jen většinou, abych je nemusel posílat nadvakrát, urychlilo by mi to komunikaci, nicméně zase musím ocenit, že na jisté maily odpovídal s bleskovou rychlostí.";"kas"
"3";"JMB520";"Současné metodologie";"Kubát,M.";;"1";"2";"1";"1";"1";NULL;NULL;NULL;NULL;"3";"1";"2";"2";"Reader byl fajn, člověk se něco doví, byť byl místy nezáživný.";"Téměř stejné výtky jako u metodického úvodu. (bez recenze na knihu, která zde nebyla) Nedozvěděl jsem, jaký je smysl vypracovávat 10 - 15 stránkovou práci namísto 5stránkové, docela to žere čas a nervy.";"krvs"
"4";"JLB033";"Němčina I";;"Faltýnová,R.";"5";"5";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";"Téměř vše, výborné. Přístup profesorky je příkladný. Vřelost maximální.";"Není to přímo kritika kurzu, jen když jsme (jsem) německy slabší z naší SŠ a také chceme studovat německý jazyk, byli bychom rádi za nějaký seminář na naší úrovni (A2), kam bychom mohli chodit, protože nic takového není a B1 logicky neporazíme při rozřazovacích testech (lepší profesor, byli v zahraničí, v jazykovce, větší nadání, whatever) a dělat prakticky dálkově německý jazyk o úroveň výš po domluvě s profesorkou je docela náročné pro někoho, komu jazyky obecně příliš nejdou.";"kjp"
"5";"JSB031";"Bakalářský seminář I  - diskuse projektů";;"Balon Jan";"5";"3";NULL;NULL;NULL;"5";"5";"4";"1";"3";"3";"4";"4";"Komentář vyučujícího k jednotlivým prezentacím, přístup ";"Nic";"ks"
"6";"JSB512";"Eklektické čtení textů";;"Cirklová,J.";"5";"4";NULL;NULL;NULL;"5";"5";"5";"1";"4";"4";"4";"5";"Diskuze o tématech, informace navíc";"Nic mě nenapadá ";"ks"
"7";"JSB028";"Informatika";"Tomandlová,Věra";;"3";"3";NULL;NULL;NULL;NULL;NULL;NULL;"1";"4";"4";"1";"4";;;"kvsp"
"8";"JSB139";"Obecné postupy při psaní analytických studií";;"Tuček,M.";"4";"2";NULL;NULL;NULL;"3";"4";"2";"3";"3";"4";"3";"4";"Obsah ";"Komunikaci se studenty";"ks"
"9";"JPB263";"Bakalářský  seminář II.";;"Makariusová,R.,Werkman,K.,Bureš,O.,Krausz Hladká,M.,Riegl,M.,Jüptner,P.,Mlejnek Josef,Zájedová,I.,Di";"5";"4";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";;;"kp"
"10";"JPB218";"Dějiny novověké Evropy I.";"Kučera,J.P.";;"5";"1";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kp"
"11";"JPB262";"Komparace politických systémů střední Evropy";"Mlejnek Josef,Švec,K.";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kp"
"12";"JPB254";"Politická věda ve 20. století: geneze a proměny oboru I.";;"Sekerák,M.,Vimmr,M.";"5";"5";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";;;"kp"
"13";"JPB254";"Politická věda ve 20. století: geneze a proměny oboru I.";"Švec,K.";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kp"
"14";"JPB260";"Politické myšlení novověku III";"Kučera,J.P.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kp"
"15";"JPB202";"Politické strany v Evropě";"Perottino,M.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kp"
"16";"JPB227";"Politický system ČR";"Charvát,J.";;"5";"2";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kp"
"17";"JMB065";"Úvod do mezinárodního a evropského práva";"Šlosarčík Ivo";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kzs"
"18";"JMB001";"Úvod do společenských věd I";"Kubát,M.";;"5";"2";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"krvs"
"19";"JMB113";"Úvod do teritoriálních studií";"Kozák Kryštof";;"4";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kas"
"20";"JPM555";"Security and Defence Integration in Europe and Transatlantic Relations";"Ditrych,O.";;"2";"1";"2";"2";"1";NULL;NULL;NULL;"1";"1";"1";"2";"1";"competence of the lecturer";"lectures too longlecture style has to be more interesting, more excitingless history but more of political analysis";"kbs"
"21";"JLB100";"Czech as a Foreign Language I";;"Frantesová,E.";"5";"4";NULL;NULL;NULL;"4";"4";"5";"1";"5";"5";"5";"5";"quick successes in learningvery valuable for the every day lifegreat feeling when one can communicate in everyday Czech life thanks to the classwell prepared teacher, putting a lot of effort in the class";"better composition of classes, levels of classmates were unequal after a few weeks";"kjp"
"22";"JPM301";"Ozbrojené konflikty a mezinárodní bezpečnost (OKMB)";"Karásek Tomáš";;"5";"2";"5";"5";"5";NULL;NULL;NULL;"1";"5";"4";"5";"5";"great teaching style, lower volume of the voice ensures that everybody is paying attentioninteresting topicvisible red thread along the different lectures";"assigned texts were less helpful. Better would be texts out of current journals like JCR or else.uploading slides earlier";"kbs"
"23";"JPM554";"Introduction to Security and Conflict Studies";"Kučera,T.,Střítecký,V.";;"4";"2";"4";"4";"3";NULL;NULL;NULL;"3";"3";"3";"3";"2";"good lecture style by Dr. Striteckysession on research papers";"for students of the master uninteresting topicsguest lectures not interesting";"kbs"
"24";"JPM560";"Comparative Counterterrorism";"Bureš,O.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"great, valuable insights by the lecturergood style of lecture, very good slidesinteresting topicsvisible red thread througout the lecturesguest lecture";"less asigned texts, less of group workno group presentations as they do not really present any additional valuebeing more strict on the contributions of the classmates (\"we need 2000 drones\")";"kbs"
"25";"JLB057";"Academic Writing";;"Garlick,J.";"4";"2";NULL;NULL;NULL;"5";"5";"4";"1";"3";"4";"4";"3";;;"kjp"
"26";"JEM123";"Economics of Least Developed Countries";"Matoušek,J.,Bauer,M.";;"4";"4";"5";"4";"4";NULL;NULL;NULL;"1";"4";"3";"4";"5";;;"ies"
"27";"JPM429";"Global terrorism (ACIS)";;"Makariusová,R.";"2";"1";NULL;NULL;NULL;"1";"1";"3";NULL;"4";"3";"2";"2";"good texts assigned to read";"lecturer is not competent enough";"kmv"
"28";"JEM123";"Economics of Least Developed Countries";;"Bauer,M.,Matoušek,J.";"4";"4";NULL;NULL;NULL;"5";"4";"3";"1";"3";"4";"4";"5";;;"ies"
"29";"JJB410";"Writing for Media";;"Perkins,J.";"2";"5";NULL;NULL;NULL;"4";"3";"3";"1";"2";"3";"3";"1";;;"kmkpr"
"30";"JEB039";"International Trade";"Semerák,V.";;"4";"4";"5";"5";"4";NULL;NULL;NULL;"1";"4";"3";"5";"4";;;"ies"
"31";"JPM564";"Euroatlantic Community in Action: NATO Operations after Cold War (ACIS)";;"Karásek Tomáš";"5";"4";NULL;NULL;NULL;"5";"5";"4";"1";"5";"5";"5";"5";"good texts assigned to readintroductions given by lecturerencouraging counterfactual thinking";"no feedback on annotations handed inpresentations by some of the students not on the topic, take too long";"kbs"
"32";"JEB039";"International Trade";;"Hayat,A.";"4";"4";NULL;NULL;NULL;"3";"5";"3";"1";"4";"5";"4";"4";;;"ies"
"33";"JEM062";"Introductory Econometrics";"Bartoš,V.";;"4";"3";"3";"3";"3";NULL;NULL;NULL;"1";"4";NULL;"5";"4";;;"ies"
"34";"JEM027";"Monetary Economics";"Holub,T.,Šmídková,K.";;"3";"5";"3";"3";"3";NULL;NULL;NULL;"1";"3";"2";"4";"3";;;"ies"
"35";"JSB010";"Současná sociologie";"Balon Jan";;"4";"4";"4";"4";"3";NULL;NULL;NULL;"2";"5";"4";"5";"4";"Forma testu, vyučující";"Přidat například interaktivní výuku - základní věci promítnout v prezentaci";"ks"
"36";"JPM611";"Cyber Security and International Relations";"Bruner,T.,Schmidt,N.";;"3";"5";"2";"2";"2";NULL;NULL;NULL;NULL;"2";"3";"3";"3";;"no feedback on policy memos even if promised; not even gradeslectures often far away from the topic";"kmv"
"37";"JMB065";"Úvod do mezinárodního a evropského práva";"Šlosarčík Ivo";;"4";"4";"4";"4";"3";NULL;NULL;NULL;"1";"5";"3";"3";"5";"Forma testu";"Nic ";"kzs"
"38";"JSB051";"Úvod do sociální antropologie";"Kandert Josef";;"4";"4";"4";"3";"3";NULL;NULL;NULL;"2";"4";"3";"4";"4";"Informace ";"Vstřícnost vyučujícího ohledně vypsaných termínů zkoušky a jejich kapacity";"ks"
"39";"JSB072";"Zdravotní politika";"Háva Petr";;"4";"3";"4";"4";"4";NULL;NULL;NULL;"1";"4";"3";"4";"4";"Forma zkoušky ";"Lepší rozvrhnutí probírané látky do přednášek - většinou se nestíhá a je to na úkor prezentací studentů ";"kvsp"
"40";"JSB031";"Bakalářský seminář I  - diskuse projektů";;"Šanderová Jadwiga";"5";"3";NULL;NULL;NULL;"5";"5";"5";"1";"3";"4";"4";"5";;;"ks"
"41";"JJB332";"Mediální produkce - workshop I";"Vlasák,Z.";;"3";"2";"3";"5";"3";NULL;NULL;NULL;"1";"3";"4";"3";"3";;;"kms"
"42";"JSB055";"Současná sociální antropologie";;"Grygar Jakub";"4";"4";NULL;NULL;NULL;"3";"4";"5";"2";"4";"4";"4";"4";;;"ks"
"43";"JPM560";"Comparative Counterterrorism";"Bureš,O.";;"4";"4";"3";"3";"5";NULL;NULL;NULL;"1";"4";"4";"5";"5";"I liked that we could engage with the subject by submitting readings for other students to get a better idea of our own presentations.";;"kbs"
"44";"JPM564";"Euroatlantic Community in Action: NATO Operations after Cold War (ACIS)";;"Karásek Tomáš";"3";"2";NULL;NULL;NULL;"5";"5";"5";"1";"2";"4";"4";"5";"We can engage in constructing alternative scenarios of past events, which is always a good exercise";"Annotations do not really help in understanding the topic better but only facilitate superficial understanding of the assigned readings.";"kbs"
"45";"JPM559";"Human Security";"Bruner,T.,Hynek,N.,Svitková,K.";;"4";"5";"5";"5";"5";NULL;NULL;NULL;"2";"5";"5";"5";"5";"In-class exercises were engaging and fun";"Providing correct time & date as well as readings beforehand would improve the subject.";"kbs"
"46";"JEB105";"Statistics";"Červinka,M.";;"4";"5";"5";"4";"5";NULL;NULL;NULL;"1";"4";"4";"4";"5";"Příklady z ekonomie, odkaz na Ekonometrii.";"Ke stejnému objemu látky bych ocenil větší množství seminářů.";"ies"
"47";"JEB105";"Statistics";;"Masák,T.";NULL;NULL;NULL;NULL;NULL;"5";"5";"5";NULL;NULL;NULL;NULL;NULL;;;"ies"
"48";"JPM402";"United Nations Peacekeeping (ACIS)";;"Bureš,O.";"3";"4";NULL;NULL;NULL;"3";"4";"4";"1";"4";"3";"4";"3";"Take-home exam was original and stimulating";"Questions and comments did not stimulate better absorption of readings, but seemed like a hindrance instead";"kbs"
"49";"JEB026";"European Economic Integration";"Dědek Oldřich";;"3";"3";"2";"3";"2";NULL;NULL;NULL;"1";"4";"2";"4";"3";;"Semináře jsou naprosto k ničemu - žádné nové informace, žádné procvičení stávajících znalostí, pouze odprezentování daného tématu studenty. Přínos pro neprezenetující studenty na cvičení je nulový.2 rozdílné hranice úspěšnosti pro místní a mezinárodní studenty je naprosto diskriminační a nemá žádné reálné opodstatnění, je to povídací předmět, žádná matematika ani nutné mezioborové znalosti.";"ies"
"50";"JEB026";"European Economic Integration";;"De Batz,L.,Hedbávný,P.,Khymych,O.,Wang,Y.";NULL;NULL;NULL;NULL;NULL;"2";"4";"1";NULL;NULL;NULL;NULL;NULL;;;"ies"
"51";"JEB008";"Mikroekonomie II";"Koubek,I.";;"4";"4";"3";"5";"4";NULL;NULL;NULL;"2";"5";"5";"5";"4";"Výborné jsou 3D modely.";"Ocenil bych prezentace které by tvořily podklad pří výkladu";"ies"
"52";"JEB008";"Mikroekonomie II";;"Koubek,I.,Polák,P.";NULL;NULL;NULL;NULL;NULL;"5";"5";"5";NULL;NULL;NULL;NULL;NULL;;;"ies"
"53";"JEB009";"Makroekonomie I";"Hlaváček,M.";;"1";"2";"1";"5";"1";NULL;NULL;NULL;NULL;"1";"1";"2";"1";;;"ies"
"54";"JSB027";"Sociální politika jako společen. praxe";"Kotrusová,M.";;"4";"5";"4";"5";"3";NULL;NULL;NULL;"2";"4";"3";"4";"3";"Úkoly na cvičení ";"Rozhodně zkrátit rozsah seminární práce, blíží se k rozsahu bakalářské ";"kvsp"
"55";"JPM127";"Geopolitika a geostrategie 1815 - 1945";"Romancov Michael";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"2";"4";"4";"5";"5";"Nadväznosť na jednotlivé časové obdobia; nešlo o niekoľko oddelených tematických celkov, ale ako keby o jeden, ktorý sa \"ťahal\" celým semestrom a to pomáhalo aj pri učení sa na skúšku.";"Venovať viac pozornosti mapám, ktoré sa napokon objavili aj na písomnej skúške.";"kp"
"56";"JPM574";"Moderní strany a stranické systémy v Evropě";"Brunclík,M.";;"5";"2";"5";"5";"4";NULL;NULL;NULL;"1";"3";"3";"4";"4";"Výučbu o rôznych \"netradičných\" typoch strán a pomenovanie ich príkladov v Európe.";"Viac sa venovať stranám, na ktoré nebol väčší priestor - napr. fosílne strany, recesistické strany, apod.";"kp"
"57";"JMB500";"Metodický úvod pro kombinované studium";"Kubát,M.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"5";"5";"5";"znalosti pedagoga, schopnost látku předat dál, ";;"krvs"
"58";"JMB523";"Mezinárodní aktuality I";"Fojtek Vít";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"4";"5";"5";"přístup pedagoga";;"kas"
"59";"JMB520";"Současné metodologie";"Kubát,M.";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"přístup pedagoga, odborník ";;"krvs"
"60";"JPM641";"Světový regionalismus";"Riegl,M.";;"3";"3";"2";"1";"3";NULL;NULL;NULL;"1";"4";"3";"3";"2";"Propojení regionálních organizací s aktuální situací v regionu, vyučující se vyzná v tématu.";"Především přístup vyučujícího k studentům, co se týče oznamovaní typu zkoušky a jejich termínů (zejména předtermínů). Taky by mohl používat počas výuky méně anglicismů, působí to podle mně rušivě.";"kp"
"61";"JMB503";"Soudobé české dějiny";"Kocian,J.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";"přístup pedagoga, znalosti a přehled, pan profesor je neskutečně milý, zdvořilý a vzdělaný člověk a být účastníkem jeho kurzu mi bylo potěšením. ";;"krvs"
"62";"JLB005";"Angličtina pro politology I";;"Panešová,K.";NULL;NULL;NULL;NULL;NULL;"3";"3";"1";NULL;NULL;NULL;NULL;NULL;;"Bylo by dobré, aby bylo možné vybírat kurzy jazyka napříč UK i bez ohledu na specializaci a tu pak pouze doplnit. Díky tomu by bylo možné zvolit si jiný typ, čas a místo výuky, než jen pondělí/čtvrtek v Jinonicích. Samozřejmě by bylo dobré výuku dělit po skupinách s méně studenty, ale to je pravděpodobně nemožné kvůli nedostatečným kapacitám. ";"kjp"
"63";"JEM002";"Master´s Thesis Seminar II";;"Havránek,T.,Havránková,Z.,Mejstřík,M.";"3";"2";NULL;NULL;NULL;"2";"4";"3";"1";"1";"4";"1";"3";"Nácvik na obhajobu, jelikož na IES se DP obhajuje bohužel také před lidmi, kteří o některých méně častých oborech nic netuší. Je fajn dostat nějaké kredity za DP - to rozhodně zanechat!";"Změnit styl kurzu - jeden člověk nemůže rozumět všem tématům. Konzultace témat mimo obor vedoucího semináře není pro studenty přínosná, jelikož vedoucí semináře o tématu nic neví. Bylo by lepší, aby tam bylo více lidí, kteří by pokryli celé spektrum prací.";"ies"
"64";"JPM560";"Comparative Counterterrorism";"Bureš,O.";;"3";"4";"4";"3";"4";NULL;NULL;NULL;"1";"4";"2";"4";"3";"Přínosné a zajímavé texty. Vyučující je odborník a umí reagovat na jakékoliv podněty a dotazy.";"Při počtu studentů je skupinový projekt akorát na obtíž, jeho přínos je pro studenty i výuku minimální. Zlepšením by mohly být menší skupiny ve více hodinách kurzu nebo bloková výuka na jeho konci. Probírání zadané látky mezi studenty v hodině je k ničemu, když není povinnost texty nastudovat. Pomohlo by, kdyby k diskuzi byl jen jeden nebo dva povinné texty a zbytek stávající formou možné kontroly před hodinou. Pak by dávalo smysl \"nevzdávejte domácí přípravu, pokud nestihnete přečíst vše\".";"kbs"
"65";"JPM430";"Marxism in International Relations (TIR)";;"Střítecký,V.";"4";"2";NULL;NULL;NULL;"5";"5";"4";"2";"3";"1";"4";"3";;;"kmv"
"66";"JPM561";"Regional Security Studies";"Daniel,J.,Karásek Tomáš";;"4";"3";"4";"3";"4";NULL;NULL;NULL;"1";"5";"2";"5";"4";"Systém průběžných testů, který skutečně vede k domácí přípravě. Rozdělení na relevantní regiony a přínos ke studiu mezinárodní bezpečnosti.";"Hodnocení průběžných testů do týdne, ne do měsíce.";"kbs"
"67";"JPM628";"Researching International Politics: Quantitative Methods";"Parízek, M.";;"3";"4";"2";"4";"1";NULL;NULL;NULL;"1";"1";"4";"1";"2";;"Kurz by měl být volitelný a rozdělený na teorii a praxi s programem. ";"kmv"
"68";"JPM160";"Česká komunální politika";"Jüptner,P.";;"4";"4";"5";"4";"4";NULL;NULL;NULL;"1";"5";"5";"3";"4";"Velmi zajímavé bylo učinit rozhovor se starostou obce.";;"kp"
"69";"JMB018";"Bakalářský seminář I";;"Matějka Ondřej";"2";"3";NULL;NULL;NULL;"3";"2";"4";"3";"2";"4";"2";"3";"Předpokládám, že konzultace jednotlivých prací a oponentur k nim ve třídě byla přínosná, avšak pro dálkové studenty by to chtělo nějakou podobnou alternativu, nebo alespoň automatické přeposlání oponentských odstavců k jejich vlastním pracím.";"Systém oponentských odstavců jako takový není špatný, nevidím však jediný důvod, proč by studenti měli psát tyto oponentské odstavce na práce všech svých spolužáků - místo toho by bylo efektivnější rozdělit třídu tak, aby každý psal \"opo-odstavce\" pro 3-4 lidi a mohl se tak sám lépe soustředit například na tezi své bakalářky. Kromě toho, když jsme chtěli znát názory ostatních na svoji práci, museli jsme si \"opo-odstavce\" vyžádat, a od vyučujícího jsme dostali zpětnou vazbu pouze o jedné větě, pokud vůbec (jde především o studenty na Erasmu, kteří dělali předmět dálkově). Celkově mi přijde, že jsme mnohdy dostávali moc práce najednou, přitom by mělo větší smysl, abychom se soustředili více na tu nejdůležitější (moc nechápu smysl referátu na \"plagiátovou aféru\" v době, kdy jsme měli psát další oponentské odstavce a snad i tezi samotnou).";"krvs"
"70";"JPM641";"Světový regionalismus";"Riegl,M.";;"3";"4";"3";"3";"3";NULL;NULL;NULL;"2";"3";"2";"3";"3";;;"kp"
"71";"JPM402";"United Nations Peacekeeping (ACIS)";;"Bureš,O.";"4";"4";NULL;NULL;NULL;"3";"3";"5";"1";"4";"3";"4";"4";;"Pokud je kurz koncipován pro malý počet studentů, možná by bylo dobré počet studentů předem omezit místo toho, aby si pak vyučující stěžoval, že kurz je koncipován pro méně studentů, než na něj bude docházet, a výuka tak bude probíhat jinak, než bylo zamýšleno. Netýká se pouze tohoto kurzu.";"kbs"
"72";"JPM679";"Theories of International Relations BS (TIR)";"Ditrych,O.,Plechanovová Běla";;"3";"4";"1";"1";"1";NULL;NULL;NULL;"2";"4";"1";"5";"3";;;"kmv"
"73";"JPM652";"Volební chování";"Linek,L.";;"5";"4";"5";"4";"5";NULL;NULL;NULL;"1";"5";"5";"4";"5";"Četba textů, absence zkoušky.";"Zkrátit úvodní teoretickou část, jelikož se domnívám, že jí stejně většina studentů neporozuměla. K četbě textů týkajících se volebního chování pak stejně příliš užitečné teorie nebyly.";"kp"
"74";"JJB616";"Vybrané novinářské osobnosti 19. století";"Sekera,M.";;"4";"2";"5";"5";"4";NULL;NULL;NULL;"1";"3";"3";"4";"5";;;"kms"
