"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JSM005";"Sociální struktura ČR: stav, vývoj, srovnání  s EU";"Tuček";;"4";"3";"4";"4";"4";"4";"5";"4";"1";"4";"4";"4";"4";;;"ks"
"2";"JSM005";"Sociální struktura ČR: stav, vývoj, srovnání  s EU";"Tuček";;"3";"4";"3";"4";"3";NULL;NULL;NULL;"1";"3";"2";"3";"3";"aktuální témata, snaha předat zkušenosti z výzkumů";"lepší prezentace poznatků";"ks"
"3";"JSM005";"Sociální struktura ČR: stav, vývoj, srovnání  s EU";"Tuček";;"3";"2";"4";"4";"3";NULL;NULL;NULL;"3";"3";"1";"2";"3";;;"ks"
"4";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Kohoutek";"5";"5";"5";"5";"5";"4";"5";"5";"1";"5";"5";"5";"5";;;"kvsp"
"5";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Hejzlarová";"5";"5";"5";"5";"5";"5";"3";"4";"2";"5";"4";"5";"5";;;"kvsp"
"6";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Kohoutek";"5";"4";"5";"5";"5";"4";"4";"5";"1";"4";"5";"5";"5";"praktičnost, průběžné úkoly, kdy je aplikováno t, co je v přednáškách probíráno";"více času, více konkrétních příkaldů (analýza existujících dokumentů)";"kvsp"
"7";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";;"5";"3";"5";"5";"5";"4";"5";"5";"1";"5";"3";"4";"5";"přístup Arnošta Veselého. Příjemnějšího pedagoga neznám.";"dát občas 5 min přestávku";"kvsp"
"8";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Zelinková";"5";"4";"5";"5";"5";"4";"5";"5";"1";"5";"5";"5";"5";"praktické zaměření";"větší dotaci hodin cvičení, jsou příliš krátké";"kvsp"
"9";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";;"5";"3";"5";"5";"5";"5";"5";"5";"1";"4";"3";"5";"5";"přístup vyučujícího + kolegů";;"kvsp"
"10";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";;"5";"4";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"není čas ,ale praktické ukázky(case studies) by byly skvělé";"Deadline úkoly byly v ZS velm,i blízko od konce kurzu";"kvsp"
"11";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Klusáček";"5";"4";"5";"5";"5";"4";"5";"3";"1";"5";"5";"4";"5";"postupné tempo, návaznost během cvičení- úkoly";;"kvsp"
"12";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Veselý";"5";"5";"5";"5";"5";"4";"4";"3";"3";"4";"4";"4";"5";;;"kvsp"
"13";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Arnošt na hrad, pecka !";;"kvsp"
"14";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Zelinková";"5";"4";"4";"5";"4";"3";"4";"4";"1";"4";"5";"4";"4";;;"kvsp"
"15";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Hejzlarová";"5";"3";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";"kombinaci teoretcké výuky s praktickou částí seminářů";;"kvsp"
"16";"JSM527";"Metody analýzy a tvorby politik II.";"Veselý";"Hejzlarová";"5";"3";"5";"5";"5";"5";"5";"5";"1";"5";"5";"5";"5";;;"kvsp"
