"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JPM634";"Crisis Games";;"Kučera,T.,Smetana,M.,Rychnovská,D.,Parízek, M.";"5";"3";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";"Inovativnost vyuky, interaktivitu";;"kmv"
"2";"JEB111";"Advanced Data Analysis in MS Excel";;"Kraicová,L.,Polák,P.";"5";"4";NULL;NULL;NULL;"5";"5";"4";"1";"5";"5";"4";"5";;;"ies"
"3";"JEB001";"Bachelor´s Thesis Seminar I";;"Cahlík,T.,Cotte,P.";"5";"2";NULL;NULL;NULL;"3";"2";"3";"3";"3";"1";"1";"5";"Zajímavý hosté a zajímavá témata";;"ies"
"4";"JLB004";"Angličtina pro ekonomy II";;"Gloverová,M.";"5";"3";NULL;NULL;NULL;"5";"5";"5";"1";"4";"5";"5";"5";;;"kjp"
"5";"JLB032";"Angličtina II";;"Gloverová,M.";"5";"3";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";"Osobní přístup paní profesorky. Vše dobře vysvětleno a dostatečně probráno :)";"myslím, že kurz je veden přesně tak, jak je třeba, není nic, co bych navrhovala zlepšit";"kjp"
"6";"JEB135";"Economics of Global Business";"Semerák,V.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"ies"
"7";"JLB046";"Angličtina pro marketing II";;"Cotte,P.";"4";"3";NULL;NULL;NULL;"4";"5";"4";"1";"4";"3";"5";"5";"Ms. Cotte měla skvěle sestavené handouty, které nám ulehčili přípravu na zkoušku";"Pravděpodobně lepší procvičování slovní zásoby, která bude obsažena ve zkoušce. ";"kjp"
"8";"JJB063";"Audiovizuální žurnalistika v éře technologické konvergence";"Moravec Václav";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"5";"5";"5";;;"kz"
"9";"JJB306";"Novodobá historie médií";"Bednařík,P.,Končelík,J.";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"4";"1";"4";"5";"Přednášky.";"Uvítal bych více přednášek, byly vážně skvělé! ";"kms"
"10";"JJB135";"Filmový seminář";;"Šobr Michal";"5";"3";NULL;NULL;NULL;"5";"5";"5";"1";"5";"3";"3";NULL;;;"kz"
"11";"JLB032";"Angličtina II";;"Gloverová,M.";"5";"3";NULL;NULL;NULL;"5";"5";"5";NULL;"5";"4";"3";"5";;;"kjp"
"12";"JJB063";"Audiovizuální žurnalistika v éře technologické konvergence";;"Moravec Václav";"5";"4";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";;;"kz"
"13";"JEB117";"Mathematics for Economists";"Abramishvili,Z.";;"4";"3";"3";"4";"4";NULL;NULL;NULL;"1";"4";"4";"4";"4";;;"ies"
"14";"JMM188";"Economic transformation in the post-Soviet area";"Svoboda  Karel";;"5";"5";"4";"5";"5";NULL;NULL;NULL;"1";"5";"1";"5";"5";;;"krvs"
"15";"JPB253";"České novověké dějiny II.";"Kučera,J.P.";;"2";"4";"4";"3";"2";NULL;NULL;NULL;"1";"3";"2";"3";"3";;;"kp"
"16";"JLB010";"Angličtina pro žur. a masovou komunikaci II";;"Prošková,A.";"5";"3";NULL;NULL;NULL;"5";"5";"5";"1";"5";"5";"5";"5";"Oceňuji aktivní a pozitivní přístup vyučující.";;"kjp"
"17";"JLB014";"Němčina odborná II";;"Křenková Dagmar";"5";"4";NULL;NULL;NULL;"5";"5";"5";"2";"5";"4";"3";"5";;;"kjp"
"18";"JJM257";"Duchovní kořeny evropské kultury II";"Fischerová,S.";;"2";"2";"1";"3";"1";NULL;NULL;NULL;"1";"2";"1";"1";"1";;;"kz"
"19";"JJB303";"Úvod do lingvistiky a sémiotiky";"Šoltys,O.";;"4";"2";"4";"4";"4";NULL;NULL;NULL;"1";"4";"2";"4";"4";;;"kms"
"20";"JEB132";"Introductory Statistics";"Červinka,M.";;"5";"4";"5";"3";"4";NULL;NULL;NULL;"1";"5";"4";"3";"5";;;"ies"
"21";"JEB102";"Principles of  Economics II";"Adam,T.,Šolc,J.,Janský,Petr (ekonom),Džmuráňová,H.";;"3";"2";"5";"5";"2";NULL;NULL;NULL;"1";"3";"3";"4";"4";;;"ies"
"22";"JJB135";"Filmový seminář";;"Šobr Michal";"5";"1";NULL;NULL;NULL;"5";"5";"5";"2";"3";"3";"3";"5";;;"kz"
"23";"JJB068";"Mluvní a pohybová výchova   II";;"Livorová,A.";"3";"3";NULL;NULL;NULL;"3";"4";"2";"1";"4";"4";"4";"2";;;"kz"
"24";"JPB232";"Britské impérium v 18. - 20. století";"Soukup,Jaromír";;"4";"2";"5";"5";"4";NULL;NULL;NULL;"1";"4";"4";"4";"5";;;"kmv"
"25";"JPB019";"Dějiny mezinárodních vztahů II";"Soukup,Jaromír";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"3";"3";"1";"3";"5";;;"kmv"
"26";"JJB270";"Dějiny a teorie marketingové komunikace";"Klimeš,D.";;"4";"2";"5";"5";"4";NULL;NULL;NULL;"1";"4";"3";"4";"4";;;"kmkpr"
"27";"JJM321";"Mediální publika";"Baslarová,I.";;"3";"3";"3";"3";"3";NULL;NULL;NULL;"2";"3";"2";"2";"3";;;"kms"
"28";"JMMZ051";"Political Systems of East European Countries Today";"Kubát,M.";;"4";"3";"3";"4";"3";NULL;NULL;NULL;"2";"3";"1";"2";"3";;;"krvs"
"29";"JPM557";"Applying Security Concepts in International Politics";"Střítecký,V.";;"5";"3";"4";"5";"4";NULL;NULL;NULL;"2";"4";"3";"4";"4";;;"kmv"
"30";"JEB102";"Principles of  Economics II";;"Adam,T.,Džmuráňová,H.";"3";"2";NULL;NULL;NULL;"2";"4";"2";"1";"3";"3";"3";"3";;;"ies"
"31";"JJB064";"Televize jako instituce";"Štoll,M.";;"3";"4";"4";"5";"3";NULL;NULL;NULL;"1";"4";"4";"4";"3";;;"kz"
"32";"JPB012";"Politická geografie II";"Romancov Michael";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"1";"4";"4";"5";"5";"znalosti a přístup vyučujícího, dále tempo výkladu, které není nudné a monotónní.";"více takových předmětů";"kp"
"33";"JEB132";"Introductory Statistics";;"Smutná,Š.";"4";"3";NULL;NULL;NULL;"4";"5";"4";NULL;"4";"4";"3";"5";;;"ies"
"34";"JJB304";"Úvod do politologie";"Švec,K.";;"3";"2";"4";"5";"3";NULL;NULL;NULL;"1";"4";"1";"2";"3";;;"kms"
"35";"JPB019";"Dějiny mezinárodních vztahů II";"Soukup,Jaromír";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"2";"5";"5";"5";"5";"Zajímavě vyprávěno, doplněno i interaktivím materiálem :)";"Netřeba nic měnit";"kmv"
"36";"JLB004";"Angličtina pro ekonomy II";;"Staňková Marcela";"5";"3";NULL;NULL;NULL;"5";"5";"5";"1";"4";"4";"4";"5";;"Nic. Kurz je dobry.";"kjp"
"37";"JPB255";"Politická věda ve 20. století: geneze a proměny oboru II";;"Sekerák,M.";"4";"4";NULL;NULL;NULL;"4";"4";"4";"1";"4";"4";"4";"4";;;"kp"
"38";"JLB048";"Ruština obecná II";;"Mistrová,V.";"5";"5";NULL;NULL;NULL;"5";"5";"5";"1";"5";"1";"3";"5";;;"kjp"
"39";"JEB025";"Public Finance";"Soudek,J.,Švarcová,N.";;"4";"4";"5";"5";"4";NULL;NULL;NULL;"1";"4";"4";"4";"4";;;"ies"
"40";"JJB064";"Televize jako instituce";;"Štoll,M.";"3";"4";NULL;NULL;NULL;"4";"5";"4";"1";"4";"4";"4";"3";;;"kz"
"41";"JLB006";"Angličtina pro politology II";;"Panešová,K.";"4";"3";NULL;NULL;NULL;"4";"5";"4";"1";"4";"4";"3";"4";"Možnost \"dálkového\" studia.";;"kjp"
"42";"JJB238";"Kritika marketingové komunikace";"Hejlová,D.";;"3";"4";"4";"4";"3";NULL;NULL;NULL;"3";"4";"3";"3";"3";"Přednášky vedené pedagogem, informování o konkrétních příkladech";"Příliš mnoho přednášek bylo \"od studentů\" - valnou většinu kurzu tvořili prezentace studentů. A méně je někdy více - možná by pro studenty bylo lepší, kdyby více přednášel pedagog. ";"kmkpr"
"43";"JSB311";"Antropologie náboženství";"Spalová,B.";;"4";"2";"4";"5";"3";NULL;NULL;NULL;"2";"4";"3";"4";"4";"přístup vyučujícího";"formu zkoušky";"ks"
"44";"JJB072";"Tvůrčí dílny II - rozhlasové";"Maršík Josef";;"4";"5";"5";"5";"5";NULL;NULL;NULL;"1";"4";"4";"4";"4";;;"kz"
"45";"JSB008";"Dějiny sociologie II";"Balon Jan,Šanderová Jadwiga";;"3";"5";"4";"4";"4";NULL;NULL;NULL;"2";"4";"1";"2";"3";;"výuku vedenou J. Balonem zpřístupnit v případě absence na přednáškách (ppt apod.), velká obtížnost závěrečné zkoušky - možná založit systém na základě ZSM";"ks"
"46";"JPM036";"Geopolitika a geostrategie 1945-2000";"Romancov Michael";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"3";"5";"1";"5";"5";;;"kp"
"47";"JEB046";"Účetnictví I";"Kemény,I.";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"1";"4";"5";"4";"5";;;"ies"
"48";"JJB292";"In-store marketing";"Jesenský,D.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"5";"4";"5";"5";"Konkrétní příklady z praxe a multidisciplinární přesah";;"kmkpr"
"49";"JEB010";"Makroekonomie II";"Hlaváček,M.";;"4";"3";"4";"5";"5";NULL;NULL;NULL;"1";"4";"2";"4";"4";;;"ies"
"50";"JMM016";"Introduction to the US Legal System: European Perspective";"Kozák Kryštof";;"5";"4";"4";"5";"4";NULL;NULL;NULL;"1";"4";"4";"4";"5";;;"kas"
"51";"JPB094";"Francouzský politický systém";"Perottino,M.";;"4";"2";"4";"3";"4";NULL;NULL;NULL;"3";"4";"4";"5";"4";;;"kp"
