"cislo_dot";"kod_predm";"nazev_predm";"prednasejici";"cvicici";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q11";"q12";"q13";"t1";"t2";"katedra_code"
"1";"JJB063";"Audiovizuální žurnalistika v éře technologické konvergence";"Moravec, V.";;"5";"3";"5";"4";"5";NULL;NULL;NULL;"2";"5";"2";"5";"5";"prehledna studijni publikace, skoda ze vysla az na konci semestru";"vylet ke karlstejnu nemel smysl, kdyz se jen sedelo na poli a stejne se nic nestihloprubezne testy jen stresovaly lidi a stejne se nepocitaly do znamek";"kz"
"2";"JJB063";"Audiovizuální žurnalistika v éře technologické konvergence";;"Moravec, V.";"5";"3";NULL;NULL;NULL;"5";"4";"3";"2";"5";"2";"5";"5";"cviceni nebylo, jen dvouhodinova prednaska, neni tu co psat";"cviceni nebylo, jen dvouhodinova prednaska, neni tu co psat";"kz"
"3";"JJB068";"Mluvní a pohybová výchova   II";;"Pavel,L.";"5";"1";NULL;NULL;NULL;"4";"5";"5";"2";"3";"5";"3";"5";"Oceňuji posun oproti předchozí vyučující, už to není jen každotýdenní kolovrátek čtení z jednoho papíru.";"Učebna není uzpůsobená pro předmět, který vyžaduje pohyb.";"kz"
"4";"JJB064";"Televize jako instituce";"Štoll,M.";;"5";"2";"5";"5";"5";NULL;NULL;NULL;"2";"5";"2";"5";"5";"Přístup vyučujícího, příklady z praxe.";;"kz"
"5";"JJB064";"Televize jako instituce";;"Štoll,M.";NULL;NULL;NULL;NULL;NULL;"5";"5";"5";NULL;NULL;NULL;NULL;NULL;;;"kz"
"6";"JEB103";"Comparative Economics";"Cahlík,T.";;"5";"3";"5";"5";"4";NULL;NULL;NULL;"2";"5";"5";"5";"5";;;"ies"
"7";"JJM326";"Mediální systémy a jejich komparace";"Trampota,T.";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"5";"5";"5";"5";"5";;;"kms"
"8";"JMM385";"Legal Framework of the European Union";"Šlosarčík Ivo";;"5";"3";"5";"5";"5";NULL;NULL;NULL;"2";"4";"4";"4";"5";"Professors enthusiasm and teaching skills. He brought a quite technical subject matter a lot of life. ";"Clearer expectations of what we have to do for the course.";"kzs"
"9";"JJM322";"Praktikum novinářské práce";"Závozda,P.";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"5";"5";"5";"5";"5";;;"kms"
"10";"JJM336";"Kapitoly z dějin studia médií";"Jirák,J.";;"5";"4";"5";"5";"5";NULL;NULL;NULL;"1";"4";"1";"5";"5";;;"kms"
"11";"JJM323";"Praktikum práce v public relations";"Dolanský, P.";;"5";"5";"5";"5";"5";NULL;NULL;NULL;"5";"5";"5";"5";"5";;;"kms"
